sym,day,M,corr_imb_fwdret,win_rate,mean_pnl,sharpe,total_pnl_size1
BLACK_HOLES,2,1,0.07130612759781256,0.020102010201020103,0.13366336633663367,6.230914210396199,1336.5
BLACK_HOLES,2,5,0.023720548578936605,0.017908954477238618,0.09769884942471235,2.2763917088493515,976.5
BLACK_HOLES,2,10,0.013317430178203627,0.016316316316316318,0.07937937937937938,1.3775916162833213,793.0
BLACK_HOLES,3,1,0.046203761982471114,0.0196019601960196,0.09705970597059706,4.444473705647425,970.5
BLACK_HOLES,3,5,-0.0027446111810852003,0.01630815407703852,-0.0028514257128564283,-0.061596298107646885,-28.5
BLACK_HOLES,3,10,0.001173239383889333,0.017117117117117116,0.027827827827827827,0.4221935029245239,278.0
BLACK_HOLES,4,1,0.059844044251991496,0.021102110211021104,0.14736473647364737,5.843560651045685,1473.5
BLACK_HOLES,4,5,0.029861033013638485,0.019809904952476236,0.16238119059529765,3.102230163793932,1623.0
BLACK_HOLES,4,10,0.02381668852824663,0.01951951951951952,0.19134134134134134,2.5848788538572944,1911.5
DARK_MATTER,2,1,0.04414988931016464,0.0184018401840184,0.08315831583158316,4.362404627186802,831.5
DARK_MATTER,2,5,0.02824127912068129,0.016708354177088543,0.12921460730365184,3.1651667258504697,1291.5
DARK_MATTER,2,10,0.019847645447121757,0.016816816816816817,0.1396896896896897,2.4651290823164977,1395.5
DARK_MATTER,3,1,0.058274401864504,0.022502250225022502,0.11536153615361536,5.98285641810071,1153.5
DARK_MATTER,3,5,0.03142157964962212,0.018909454727363682,0.13236618309154577,3.1983415459891735,1323.0
DARK_MATTER,3,10,0.020549450758428456,0.018018018018018018,0.12267267267267268,2.1267536550136388,1225.5
DARK_MATTER,4,1,0.054283719713443035,0.0223022302230223,0.09885988598859886,4.755013367865692,988.5
DARK_MATTER,4,5,0.0313348877281524,0.020110055027513757,0.11790895447723862,2.698557659870454,1178.5
DARK_MATTER,4,10,0.024213174370564756,0.01941941941941942,0.12137137137137137,1.8243004896653825,1212.5
PLANETARY_RINGS,2,1,0.05746381808765313,0.019101910191019103,0.10226022602260226,5.2640008312262365,1022.5
PLANETARY_RINGS,2,5,0.021814158344985034,0.016908454227113557,0.09794897448724363,2.249189740667868,979.0
PLANETARY_RINGS,2,10,0.027293855884236953,0.017517517517517518,0.15675675675675677,2.6280476008910614,1566.0
PLANETARY_RINGS,3,1,0.0563082502054419,0.020702070207020702,0.12876287628762875,5.5093119114233255,1287.5
PLANETARY_RINGS,3,5,0.01964286620329222,0.018409204602301152,0.10360180090045022,2.2098693504484483,1035.5
PLANETARY_RINGS,3,10,0.0279793140903572,0.01821821821821822,0.182982982982983,2.5890130633384376,1828.0
PLANETARY_RINGS,4,1,0.06304104901926133,0.021802180218021803,0.1319131913191319,6.1977836541522064,1319.0
PLANETARY_RINGS,4,5,0.040791872266231134,0.020910455227613808,0.19469734867433716,4.442851521518361,1946.0
PLANETARY_RINGS,4,10,0.026053281252101726,0.02012012012012012,0.18768768768768768,3.205910114505602,1875.0
SOLAR_FLAMES,2,1,0.055751171166633,0.0193019301930193,0.11186118611861186,5.265256363058818,1118.5
SOLAR_FLAMES,2,5,0.016877258754380637,0.01630815407703852,0.07493746873436719,1.6527900173177867,749.0
SOLAR_FLAMES,2,10,0.02485866003365769,0.016516516516516516,0.15475475475475475,2.40025292388663,1546.0
SOLAR_FLAMES,3,1,0.05073117238311621,0.0194019401940194,0.11661166116611661,5.376296568642345,1166.0
SOLAR_FLAMES,3,5,0.015183202544018615,0.017908954477238618,0.07053526763381691,1.38805274457973,705.0
SOLAR_FLAMES,3,10,0.006178389386707716,0.016116116116116116,0.051251251251251254,0.7404681514866435,512.0
SOLAR_FLAMES,4,1,0.0501108570994171,0.020602060206020602,0.10156015601560156,4.825297216966378,1015.5
SOLAR_FLAMES,4,5,0.033929390633679335,0.018409204602301152,0.13906953476738368,3.0525963819642428,1390.0
SOLAR_FLAMES,4,10,0.0266476824369731,0.01961961961961962,0.1512012012012012,2.503953184117319,1510.5
SOLAR_WINDS,2,1,0.050837276756690926,0.018801880188018802,0.0926092609260926,4.711431521960815,926.0
SOLAR_WINDS,2,5,0.018588783201195298,0.017008504252126064,0.08299149574787394,2.2785546071205127,829.5
SOLAR_WINDS,2,10,0.02762456753522358,0.01761761761761762,0.15725725725725725,2.859546599794782,1571.0
SOLAR_WINDS,3,1,0.05157490772645055,0.021002100210021003,0.0999099909990999,5.263387716088898,999.0
SOLAR_WINDS,3,5,0.030512504477022466,0.019609804902451226,0.13626813406703353,3.434596323908182,1362.0
SOLAR_WINDS,3,10,0.019856720352555462,0.017917917917917917,0.12252252252252252,2.1700932712878163,1224.0
SOLAR_WINDS,4,1,0.0882809766585295,0.0233023302330233,0.17971797179717972,8.256634242795547,1797.0
SOLAR_WINDS,4,5,0.03684537162892241,0.02031015507753877,0.15457728864432216,3.3556151802586918,1545.0
SOLAR_WINDS,4,10,0.023702811483197236,0.019119119119119118,0.1453953953953954,2.2124280768139255,1452.5
