cause,effect,lag,pvalue
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,1,0.42050757743106293
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,2,0.5472036862307819
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,3,0.7205188832176797
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,4,0.7727685863833694
SLEEP_POD_COTTON,SLEEP_POD_LAMB_WOOL,5,0.7772969201778273
SLEEP_POD_COTTON,SLEEP_POD_NYLON,1,0.6731778744711983
SLEEP_POD_COTTON,SLEEP_POD_NYLON,2,0.22509608494724148
SLEEP_POD_COTTON,SLEEP_POD_NYLON,3,0.3973035719931971
SLEEP_POD_COTTON,SLEEP_POD_NYLON,4,0.4888147065253763
SLEEP_POD_COTTON,SLEEP_POD_NYLON,5,0.6153020034975133
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,1,0.9933569253861376
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,2,0.28792967778028133
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,3,0.3170864413610758
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,4,0.2051436660233911
SLEEP_POD_COTTON,SLEEP_POD_POLYESTER,5,0.09508605898263338
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,1,0.49130322513817626
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,2,0.7336149397975739
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,3,0.3400180002254357
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,4,0.4708114718809062
SLEEP_POD_COTTON,SLEEP_POD_SUEDE,5,0.5796216389579494
SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,1,0.18500460679064856
SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,2,0.4141085475664682
SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,3,0.6258083047086958
SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,4,0.775970371688573
SLEEP_POD_LAMB_WOOL,SLEEP_POD_COTTON,5,0.19409026482535052
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,1,0.556117518578753
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,2,0.5564980997450638
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,3,0.23683427923221145
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,4,0.20708227175899388
SLEEP_POD_LAMB_WOOL,SLEEP_POD_NYLON,5,0.27235938509563334
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,1,0.2609187520340618
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,2,0.4895194846351135
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,3,0.4196644128207211
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,4,0.3914099557957671
SLEEP_POD_LAMB_WOOL,SLEEP_POD_POLYESTER,5,0.483013308830311
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,1,0.6272378304314647
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,2,0.15109002976264352
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,3,0.29116398712242725
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,4,0.4183036143667519
SLEEP_POD_LAMB_WOOL,SLEEP_POD_SUEDE,5,0.09416604264715372
SLEEP_POD_NYLON,SLEEP_POD_COTTON,1,0.07848257973242724
SLEEP_POD_NYLON,SLEEP_POD_COTTON,2,0.01412722247720962
SLEEP_POD_NYLON,SLEEP_POD_COTTON,3,0.035353422630127265
SLEEP_POD_NYLON,SLEEP_POD_COTTON,4,0.034636268188491304
SLEEP_POD_NYLON,SLEEP_POD_COTTON,5,0.056275335323980005
SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,1,0.23086012294049418
SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,2,0.435116198841901
SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,3,0.452778908382388
SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,4,0.4455795778431084
SLEEP_POD_NYLON,SLEEP_POD_LAMB_WOOL,5,0.1780166605745821
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,1,0.7612996495250911
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,2,0.6719542696973333
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,3,0.26781830256874894
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,4,0.35591363446621926
SLEEP_POD_NYLON,SLEEP_POD_POLYESTER,5,0.4714458518157334
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,1,0.9999956819842802
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,2,0.8680460251791627
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,3,0.8035108131237481
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,4,0.5409399502015783
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,5,0.6743705987747026
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,1,0.3172447758034643
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,2,0.5173369405361186
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,3,0.7059259359648802
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,4,0.6177426126480454
SLEEP_POD_POLYESTER,SLEEP_POD_COTTON,5,0.6991795555109819
SLEEP_POD_POLYESTER,SLEEP_POD_LAMB_WOOL,1,0.36089534982155647
SLEEP_POD_POLYESTER,SLEEP_POD_LAMB_WOOL,2,0.5239167352619583
