a,b,family_a,family_b,corr_ret1,corr_ret10,abs_r1,abs_r10
PANEL_1X4,PEBBLES_S,PANEL,PEBBLES,-0.00900016642839833,-0.05642887858158293,0.00900016642839833,0.05642887858158293
SLEEP_POD_POLYESTER,UV_VISOR_AMBER,SLEEP_POD,UV_VISOR,0.006486308283449576,0.052165636467206934,0.006486308283449576,0.052165636467206934
MICROCHIP_SQUARE,SNACKPACK_RASPBERRY,MICROCHIP,SNACKPACK,-0.000694270279080276,0.04745901963161375,0.000694270279080276,0.04745901963161375
GALAXY_SOUNDS_SOLAR_FLAMES,SLEEP_POD_SUEDE,GALAXY_SOUNDS,SLEEP_POD,0.00760323478456409,0.045213579185529144,0.00760323478456409,0.045213579185529144
ROBOT_DISHES,SLEEP_POD_POLYESTER,ROBOT,SLEEP_POD,-0.004551520767534555,-0.044023006254625276,0.004551520767534555,0.044023006254625276
MICROCHIP_SQUARE,SNACKPACK_PISTACHIO,MICROCHIP,SNACKPACK,0.0007457644595329788,-0.042063548846171236,0.0007457644595329788,0.042063548846171236
GALAXY_SOUNDS_PLANETARY_RINGS,PEBBLES_M,GALAXY_SOUNDS,PEBBLES,0.0029179180141655848,-0.041904464868892696,0.0029179180141655848,0.041904464868892696
OXYGEN_SHAKE_GARLIC,SLEEP_POD_LAMB_WOOL,OXYGEN_SHAKE,SLEEP_POD,-0.002278764232337595,-0.04167720698698698,0.002278764232337595,0.04167720698698698
PEBBLES_S,TRANSLATOR_VOID_BLUE,PEBBLES,TRANSLATOR,-0.00515883318665232,-0.04158270472199807,0.00515883318665232,0.04158270472199807
MICROCHIP_SQUARE,SNACKPACK_STRAWBERRY,MICROCHIP,SNACKPACK,0.0035219900843682303,-0.04142232655081727,0.0035219900843682303,0.04142232655081727
PEBBLES_XS,ROBOT_DISHES,PEBBLES,ROBOT,0.001239691099401845,0.04097339630964636,0.001239691099401845,0.04097339630964636
MICROCHIP_CIRCLE,PEBBLES_S,MICROCHIP,PEBBLES,0.0034346123274432297,-0.040809618820725854,0.0034346123274432297,0.040809618820725854
MICROCHIP_TRIANGLE,TRANSLATOR_ASTRO_BLACK,MICROCHIP,TRANSLATOR,-0.0008645142469800419,0.04011682510320882,0.0008645142469800419,0.04011682510320882
PEBBLES_XL,TRANSLATOR_VOID_BLUE,PEBBLES,TRANSLATOR,0.009340868897751459,0.04003241691255112,0.009340868897751459,0.04003241691255112
OXYGEN_SHAKE_CHOCOLATE,SLEEP_POD_POLYESTER,OXYGEN_SHAKE,SLEEP_POD,0.006176302738306297,-0.03977069614739226,0.006176302738306297,0.03977069614739226
OXYGEN_SHAKE_MINT,ROBOT_IRONING,OXYGEN_SHAKE,ROBOT,-0.0007246734897678069,-0.03942158735967433,0.0007246734897678069,0.03942158735967433
SNACKPACK_RASPBERRY,TRANSLATOR_VOID_BLUE,SNACKPACK,TRANSLATOR,0.004896836522977439,0.039270844875882484,0.004896836522977439,0.039270844875882484
GALAXY_SOUNDS_PLANETARY_RINGS,ROBOT_LAUNDRY,GALAXY_SOUNDS,ROBOT,0.007500201951235334,0.038931442194832334,0.007500201951235334,0.038931442194832334
GALAXY_SOUNDS_BLACK_HOLES,TRANSLATOR_ASTRO_BLACK,GALAXY_SOUNDS,TRANSLATOR,0.012844396643962466,-0.03798133358666653,0.012844396643962466,0.03798133358666653
MICROCHIP_CIRCLE,UV_VISOR_YELLOW,MICROCHIP,UV_VISOR,-0.0015713984591361238,-0.037959538830182736,0.0015713984591361238,0.037959538830182736
OXYGEN_SHAKE_MINT,SNACKPACK_VANILLA,OXYGEN_SHAKE,SNACKPACK,0.02802211423870634,0.03775271301481155,0.02802211423870634,0.03775271301481155
MICROCHIP_RECTANGLE,PEBBLES_S,MICROCHIP,PEBBLES,-0.004279924463199496,-0.037704762390749685,0.004279924463199496,0.037704762390749685
MICROCHIP_RECTANGLE,TRANSLATOR_GRAPHITE_MIST,MICROCHIP,TRANSLATOR,-0.0034642339303710286,-0.03664217628126869,0.0034642339303710286,0.03664217628126869
PANEL_1X4,PEBBLES_XL,PANEL,PEBBLES,0.002245289081456425,0.036060306494407605,0.002245289081456425,0.036060306494407605
SLEEP_POD_POLYESTER,UV_VISOR_MAGENTA,SLEEP_POD,UV_VISOR,0.014353295447355481,0.035997624929744836,0.014353295447355481,0.035997624929744836
ROBOT_IRONING,UV_VISOR_AMBER,ROBOT,UV_VISOR,0.015189132284119257,0.035797474764676554,0.015189132284119257,0.035797474764676554
PEBBLES_M,SNACKPACK_CHOCOLATE,PEBBLES,SNACKPACK,-0.010535581334806449,-0.03546746849271882,0.010535581334806449,0.03546746849271882
ROBOT_VACUUMING,SNACKPACK_PISTACHIO,ROBOT,SNACKPACK,0.013236696911169422,0.035317110053314,0.013236696911169422,0.035317110053314
SLEEP_POD_POLYESTER,SNACKPACK_CHOCOLATE,SLEEP_POD,SNACKPACK,0.013325594704784225,0.03461958008891926,0.013325594704784225,0.03461958008891926
PEBBLES_M,SNACKPACK_VANILLA,PEBBLES,SNACKPACK,0.009258603035277332,0.033815617421355054,0.009258603035277332,0.033815617421355054
OXYGEN_SHAKE_CHOCOLATE,PANEL_2X2,OXYGEN_SHAKE,PANEL,0.0017421524290293857,-0.03379052790026553,0.0017421524290293857,0.03379052790026553
GALAXY_SOUNDS_DARK_MATTER,SLEEP_POD_COTTON,GALAXY_SOUNDS,SLEEP_POD,0.008404274879204188,0.03367576397573706,0.008404274879204188,0.03367576397573706
OXYGEN_SHAKE_MINT,SNACKPACK_CHOCOLATE,OXYGEN_SHAKE,SNACKPACK,-0.001094137463514367,-0.03267561080116551,0.001094137463514367,0.03267561080116551
MICROCHIP_RECTANGLE,UV_VISOR_RED,MICROCHIP,UV_VISOR,-0.004191346634559898,0.03225800353739846,0.004191346634559898,0.03225800353739846
OXYGEN_SHAKE_MINT,TRANSLATOR_VOID_BLUE,OXYGEN_SHAKE,TRANSLATOR,0.001229970452623952,0.03180245076583248,0.001229970452623952,0.03180245076583248
SLEEP_POD_COTTON,TRANSLATOR_ASTRO_BLACK,SLEEP_POD,TRANSLATOR,0.001687374295395921,0.03169448591276199,0.001687374295395921,0.03169448591276199
